CodeFamily,Category,Label,Operator,Toggle
xyz2,Stabilizer,S_0,X0 X1,Y0
xyz2,Stabilizer,S_1,X3 X5,X2 Z3
xyz2,Stabilizer,S_2,X8 X11,X2 X5 Y8
xyz2,Stabilizer,S_3,X15 X19,X12 X13 X14 Z15
xyz2,Stabilizer,S_4,X24 X29,X12 X13 X14 X19 Y24
xyz2,Stabilizer,S_5,X35 X41,X30 X31 X32 X33 X34 Z35
xyz2,Stabilizer,S_6,X48 X55,X30 X31 X32 X33 X34 X41 Y48
xyz2,Stabilizer,S_7,X63 X71,X56 X57 X58 X59 X60 X61 X62 Z63
xyz2,Stabilizer,S_8,X80 X89,X56 X57 X58 X59 X60 X61 X62 X71 Y80
xyz2,Stabilizer,S_9,X2 X4,Y4 X7 X11
xyz2,Stabilizer,S_10,X7 X10,X4 Y7 X11
xyz2,Stabilizer,S_11,X14 X18,X12 X13 Y18 X23 X29
xyz2,Stabilizer,S_12,X23 X28,X12 X13 X18 Y23 X29
xyz2,Stabilizer,S_13,X34 X40,X30 X31 X32 X33 Y40 X47 X55
xyz2,Stabilizer,S_14,X47 X54,X30 X31 X32 X33 X40 Y47 X55
xyz2,Stabilizer,S_15,X62 X70,X56 X57 X58 X59 X60 X61 Y70 X79 X89
xyz2,Stabilizer,S_16,X79 X88,X56 X57 X58 X59 X60 X61 X70 Y79 X89
xyz2,Stabilizer,S_17,X97 X105,X89 Y97
xyz2,Stabilizer,S_18,X6 X9,Y6 X10 X11
xyz2,Stabilizer,S_19,X13 X17,X12 Y17 X22 X28 X29
xyz2,Stabilizer,S_20,X22 X27,X12 X17 Y22 X28 X29
xyz2,Stabilizer,S_21,X33 X39,X30 X31 X32 Y39 X46 X54 X55
xyz2,Stabilizer,S_22,X46 X53,X30 X31 X32 X39 Y46 X54 X55
xyz2,Stabilizer,S_23,X61 X69,X56 X57 X58 X59 X60 Y69 X78 X88 X89
xyz2,Stabilizer,S_24,X78 X87,X56 X57 X58 X59 X60 X69 Y78 X88 X89
xyz2,Stabilizer,S_25,X96 X104,X88 X89 Y96 X105
xyz2,Stabilizer,S_26,X112 X119,X88 X89 Y96 Z104 Y119
xyz2,Stabilizer,S_27,X12 X16,Y16 X21 X27 X28 X29
xyz2,Stabilizer,S_28,X21 X26,X16 Y21 X27 X28 X29
xyz2,Stabilizer,S_29,X32 X38,X30 X31 Y38 X45 X53 X54 X55
xyz2,Stabilizer,S_30,X45 X52,X30 X31 X38 Y45 X53 X54 X55
xyz2,Stabilizer,S_31,X60 X68,X56 X57 X58 X59 Y68 X77 X87 X88 X89
xyz2,Stabilizer,S_32,X77 X86,X56 X57 X58 X59 X68 Y77 X87 X88 X89
xyz2,Stabilizer,S_33,X95 X103,X87 X88 X89 Y95 X104 Y112 Z119
xyz2,Stabilizer,S_34,X111 X118,X106 X107 X108 X109 X110 Y118 X125
xyz2,Stabilizer,S_35,X125 X131,Z131 X132 X133 X134 X135 X136
xyz2,Stabilizer,S_36,X20 X25,Y20 X26 X27 X28 X29
xyz2,Stabilizer,S_37,X31 X37,X30 Y37 X44 X52 X53 X54 X55
xyz2,Stabilizer,S_38,X44 X51,X30 X37 Y44 X52 X53 X54 X55
xyz2,Stabilizer,S_39,X59 X67,X56 X57 X58 Y67 X72 X73 X74 X75
xyz2,Stabilizer,S_40,X76 X85,X56 X57 X58 X59 X72 X73 X74 X75 Z76
xyz2,Stabilizer,S_41,X94 X102,Z102 X103 X104 X106 X107 X108 X109 Y112 Z119
xyz2,Stabilizer,S_42,X110 X117,X106 X107 X108 X109 Y117 X124 X125
xyz2,Stabilizer,S_43,X124 X130,X125 Z130 X132 X133 X134 X135
xyz2,Stabilizer,S_44,X136 X141,X132 X133 X134 X135 Y141
xyz2,Stabilizer,S_45,X30 X36,Y36 X43 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_46,X43 X50,X36 Y43 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_47,X58 X66,X56 X57 Y66 X72 X73 X74
xyz2,Stabilizer,S_48,X75 X84,X56 X57 X58 X59 X67 X72 X73 X74 Z75 X76 X85
xyz2,Stabilizer,S_49,X93 X101,X94 Z101 X103 X104 X106 X107 X108 Y112 Z119
xyz2,Stabilizer,S_50,X109 X116,X106 X107 X108 Y116 X123 X124 X125
xyz2,Stabilizer,S_51,X123 X129,X124 X125 Z129 X132 X133 X134
xyz2,Stabilizer,S_52,X135 X140,X132 X133 X134 Y140 X145
xyz2,Stabilizer,S_53,X145 X149,Z149 X150 X151 X152
xyz2,Stabilizer,S_54,X42 X49,Y42 X50 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_55,X57 X65,X56 Y65 X72 X73
xyz2,Stabilizer,S_56,X74 X83,X56 X57 X58 X59 X72 X73 Z76 Y83 Y85 X92 X93
xyz2,Stabilizer,S_57,X92 X100,X93 X94 Z100 X103 X104 X106 X107 Y112 Z119
xyz2,Stabilizer,S_58,X108 X115,X106 X107 Y115 X122 X123 X124 X125
xyz2,Stabilizer,S_59,X122 X128,X123 X124 X125 Z128 X132 X133
xyz2,Stabilizer,S_60,X134 X139,X132 X133 Y139 X144 X145
xyz2,Stabilizer,S_61,X144 X148,X145 Z148 X150 X151
xyz2,Stabilizer,S_62,X152 X155,X150 X151 Y155
xyz2,Stabilizer,S_63,X56 X64,Y64 X72
xyz2,Stabilizer,S_64,X73 X82,X56 X57 X58 X59 X72 Z76 Y82 Y85 X91 X92 X93
xyz2,Stabilizer,S_65,X91 X99,X92 X93 X94 Z99 X103 X104 X106 Y112 Z119
xyz2,Stabilizer,S_66,X107 X114,X106 Y114 X121 X122 X123 X124 X125
xyz2,Stabilizer,S_67,X121 X127,X122 X123 X124 X125 Z127 X132
xyz2,Stabilizer,S_68,X133 X138,X132 Y138 X143 X144 X145
xyz2,Stabilizer,S_69,X143 X147,X144 X145 Z147 X150
xyz2,Stabilizer,S_70,X151 X154,X150 Y154 X157
xyz2,Stabilizer,S_71,X157 X159,Z159 X160
xyz2,Stabilizer,S_72,X72 X81,X56 X57 X58 X59 Z76 Y81 Y85 X90 X91 X92 X93
xyz2,Stabilizer,S_73,X90 X98,X91 X92 X93 X94 Z98 X103 X104 Y112 Z119
xyz2,Stabilizer,S_74,X106 X113,Y113 X120 X121 X122 X123 X124 X125
xyz2,Stabilizer,S_75,X120 X126,X121 X122 X123 X124 X125 Z126
xyz2,Stabilizer,S_76,X132 X137,Y137 X142 X143 X144 X145
xyz2,Stabilizer,S_77,X142 X146,X143 X144 X145 Z146
xyz2,Stabilizer,S_78,X150 X153,Y153 X156 X157
xyz2,Stabilizer,S_79,X156 X158,X157 Z158
xyz2,Stabilizer,S_80,X160 X161,Y161
xyz2,Stabilizer,S_81,X1 Z2 Y3 Y4 Z5 X7,X2
xyz2,Stabilizer,S_82,X5 Z7 Y8 Y10 Z11 X14,X11
xyz2,Stabilizer,S_83,X11 Z14 Y15 Y18 Z19 X23,X12 X13 X14
xyz2,Stabilizer,S_84,X19 Z23 Y24 Y28 Z29 X34,X29
xyz2,Stabilizer,S_85,X29 Z34 Y35 Y40 Z41 X47,X30 X31 X32 X33 X34
xyz2,Stabilizer,S_86,X41 Z47 Y48 Y54 Z55 X62,X55
xyz2,Stabilizer,S_87,X55 Z62 Y63 Y70 Z71 X79,X56 X57 X58 X59 X60 X61 X62
xyz2,Stabilizer,S_88,X71 Z79 Y80 Y88 Z89 X97,X89
xyz2,Stabilizer,S_89,X4 Z6 Y7 Y9 Z10 X13,X10 X11
xyz2,Stabilizer,S_90,X10 Z13 Y14 Y17 Z18 X22,X12 X13
xyz2,Stabilizer,S_91,X18 Z22 Y23 Y27 Z28 X33,X28 X29
xyz2,Stabilizer,S_92,X28 Z33 Y34 Y39 Z40 X46,X30 X31 X32 X33
xyz2,Stabilizer,S_93,X40 Z46 Y47 Y53 Z54 X61,X54 X55
xyz2,Stabilizer,S_94,X54 Z61 Y62 Y69 Z70 X78,X56 X57 X58 X59 X60 X61
xyz2,Stabilizer,S_95,X70 Z78 Y79 Y87 Z88 X96,X88 X89
xyz2,Stabilizer,S_96,X88 Z96 Y97 Y104 Z105 X112,X105
xyz2,Stabilizer,S_97,X9 Z12 Y13 Y16 Z17 X21,X12
xyz2,Stabilizer,S_98,X17 Z21 Y22 Y26 Z27 X32,X27 X28 X29
xyz2,Stabilizer,S_99,X27 Z32 Y33 Y38 Z39 X45,X30 X31 X32
xyz2,Stabilizer,S_100,X39 Z45 Y46 Y52 Z53 X60,X53 X54 X55
xyz2,Stabilizer,S_101,X53 Z60 Y61 Y68 Z69 X77,X56 X57 X58 X59 X60
xyz2,Stabilizer,S_102,X69 Z77 Y78 Y86 Z87 X95,X87 X88 X89
xyz2,Stabilizer,S_103,X87 Z95 Y96 Y103 Z104 X111,X104 Y112 Z119
xyz2,Stabilizer,S_104,X104 Z111 Y112 Y118 Z119 X125,X106 X107 X108 X109 X110 X111
xyz2,Stabilizer,S_105,X16 Z20 Y21 Y25 Z26 X31,X26 X27 X28 X29
xyz2,Stabilizer,S_106,X26 Z31 Y32 Y37 Z38 X44,X30 X31
xyz2,Stabilizer,S_107,X38 Z44 Y45 Y51 Z52 X59,X52 X53 X54 X55
xyz2,Stabilizer,S_108,X52 Z59 Y60 Y67 Z68 X76,X56 X57 X58 X59
xyz2,Stabilizer,S_109,X68 Z76 Y77 Y85 Z86 X94,X86 X87 X88 X89
xyz2,Stabilizer,S_110,X86 Z94 Y95 Y102 Z103 X110,X103 X104 Y112 Z119
