display_name,round,avg_stabilizer_fidelity,logical_x_fidelity,logical_y_fidelity,logical_z_fidelity
Pure Z Noise,0,0.01781764705882353,1.0,0.01983333333333333,0.017933333333333336
Pure Z Noise,1,0.9542764705882353,0.9783333333333333,0.018500000000000003,0.021733333333333334
Pure Z Noise,2,0.9535333333333332,0.9763,0.01933333333333333,0.0172
Pure Z Noise,3,0.9541019607843136,0.9764333333333333,0.0162,0.018266666666666667
Pure Z Noise,4,0.9543411764705882,0.9766666666666667,0.015933333333333334,0.014733333333333333
Pure Z Noise,5,0.9539529411764706,0.9765666666666667,0.0185,0.016766666666666666
Pure Z Noise,6,0.9540372549019607,0.9769666666666666,0.0183,0.0153
Pure Z Noise,7,0.9545725490196079,0.9783000000000001,0.01846666666666667,0.018033333333333335
Pure Z Noise,8,0.9539450980392157,0.9765666666666667,0.021233333333333333,0.018866666666666667
Pure Z Noise,9,0.9538941176470588,0.9759333333333333,0.017533333333333335,0.016766666666666666
Pure Z Noise,10,0.9540039215686273,0.9778666666666667,0.019033333333333336,0.016533333333333334
Unbiased Depolarizing Noise,0,0.01769607843137255,1.0,0.018866666666666664,0.0209
Unbiased Depolarizing Noise,1,0.832743137254902,0.9271,0.0177,0.016233333333333332
Unbiased Depolarizing Noise,2,0.8321627450980392,0.9289333333333334,0.0231,0.019733333333333332
Unbiased Depolarizing Noise,3,0.8313803921568628,0.9277666666666667,0.01846666666666667,0.019166666666666665
Unbiased Depolarizing Noise,4,0.8322274509803921,0.9275333333333333,0.018433333333333336,0.015933333333333334
Unbiased Depolarizing Noise,5,0.8314941176470588,0.9280333333333334,0.019433333333333334,0.02343333333333333
Unbiased Depolarizing Noise,6,0.8322549019607843,0.9280666666666667,0.016900000000000002,0.014233333333333332
Unbiased Depolarizing Noise,7,0.8315549019607843,0.9272666666666667,0.015366666666666667,0.02273333333333333
Unbiased Depolarizing Noise,8,0.8332137254901961,0.9278333333333334,0.015300000000000001,0.016633333333333333
Unbiased Depolarizing Noise,9,0.8320352941176471,0.9296000000000001,0.017633333333333334,0.0167
Unbiased Depolarizing Noise,10,0.8323686274509804,0.9261,0.018233333333333334,0.0181
Z Type Noise,0,0.0189,1.0,0.021066666666666668,0.017333333333333333
Z Type Noise,1,0.9109941176470588,0.9601666666666666,0.016233333333333332,0.021533333333333335
Z Type Noise,2,0.9114921568627451,0.9608333333333333,0.015266666666666668,0.018233333333333334
Z Type Noise,3,0.9112588235294118,0.9607333333333333,0.01633333333333333,0.018166666666666668
Z Type Noise,4,0.9120274509803922,0.9604999999999999,0.0168,0.016966666666666668
Z Type Noise,5,0.9108098039215686,0.9598333333333333,0.017733333333333334,0.0182
Z Type Noise,6,0.9110254901960784,0.9599333333333333,0.01846666666666667,0.016666666666666666
Z Type Noise,7,0.9111666666666667,0.9609333333333333,0.017066666666666667,0.021
Z Type Noise,8,0.9113588235294118,0.9598,0.015733333333333332,0.016666666666666666
Z Type Noise,9,0.9109372549019608,0.9619666666666666,0.016933333333333335,0.0163
Z Type Noise,10,0.9112372549019607,0.9610666666666667,0.02146666666666667,0.01923333333333333
