g1_z,IZ,ZI,ZZ,round,operator,mean,std
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,Logical X,0.960533333333,0.00423595266961
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,Logical Y,0.016,0.0114590725989
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,Logical Z,0.0151777777778,0.012130432056
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X0 X1,0.9488,0.00488770448906
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X1 Z2 Y3 Y4 Z5 X7,0.907933333333,0.00746147192036
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X10 Z12 Y13 Y14 Z15 X16,0.9044,0.00824267932484
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X12 X14,0.957822222222,0.00660879092549
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X13 X15,0.935755555556,0.00721319211482
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X15 Z16 Y17,0.969911111111,0.00440039473441
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X16 X17,0.968088888889,0.00495723731407
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X2 X4,0.921066666667,0.00639827562977
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X3 X5,0.937511111111,0.00686137131683
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X4 Z6 Y7 Y9 Z10 X12,0.921422222222,0.0053296922437
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X5 Z7 Y8 Y10 Z11 X13,0.872755555556,0.0091955900364
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X6 X9,0.956533333333,0.00583922526746
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X7 X10,0.943977777778,0.0071212451736
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X8 X11,0.9474,0.00514122396984
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,X9 Y12 Z14,0.961266666667,0.00573581876093
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,Y0 Z1 X2,0.920955555556,0.00622609348646
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,1,Z3 Y5 X8,0.940133333333,0.00691580454397
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,Logical X,0.959711111111,0.00575804174176
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,Logical Y,0.0161555555556,0.0113078595843
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,Logical Z,0.0134,0.0117500794813
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X0 X1,0.9492,0.00665838566147
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X1 Z2 Y3 Y4 Z5 X7,0.906355555556,0.00644869723594
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X10 Z12 Y13 Y14 Z15 X16,0.903088888889,0.00838075396591
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X12 X14,0.957555555556,0.00525031167353
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X13 X15,0.936644444444,0.00681778906721
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X15 Z16 Y17,0.968533333333,0.00471209416477
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X16 X17,0.967466666667,0.00452629609304
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X2 X4,0.922533333333,0.00547064615458
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X3 X5,0.938222222222,0.00640242610465
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X4 Z6 Y7 Y9 Z10 X12,0.923777777778,0.00609838451904
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X5 Z7 Y8 Y10 Z11 X13,0.871022222222,0.0128852683513
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X6 X9,0.955177777778,0.00481276506128
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X7 X10,0.945888888889,0.0057750509333
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X8 X11,0.944133333333,0.00636176317159
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,X9 Y12 Z14,0.962155555556,0.00426222230213
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,Y0 Z1 X2,0.922377777778,0.00636003646664
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,5,Z3 Y5 X8,0.9398,0.00535097656429
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,Logical X,0.960177777778,0.0034393857303
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,Logical Y,0.0133777777778,0.0111361251002
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,Logical Z,0.0159777777778,0.0131101824465
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X0 X1,0.950688888889,0.0048848293839
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X1 Z2 Y3 Y4 Z5 X7,0.903422222222,0.00886809829136
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X10 Z12 Y13 Y14 Z15 X16,0.901577777778,0.00643858896356
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X12 X14,0.957155555556,0.00650359955348
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X13 X15,0.936244444444,0.00570670999375
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X15 Z16 Y17,0.968977777778,0.00385854610355
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X16 X17,0.968311111111,0.0054743801296
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X2 X4,0.921088888889,0.00724499210491
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X3 X5,0.937555555556,0.00606815273787
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X4 Z6 Y7 Y9 Z10 X12,0.922511111111,0.00692086264269
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X5 Z7 Y8 Y10 Z11 X13,0.873622222222,0.0101478470371
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X6 X9,0.953533333333,0.00748771663347
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X7 X10,0.946822222222,0.00569111247253
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X8 X11,0.9468,0.00497164373013
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,X9 Y12 Z14,0.960755555556,0.0045443184462
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,Y0 Z1 X2,0.922666666667,0.00745869853983
0.00251188643151,0.00251188643151,0.00251188643151,0.00251188643151,10,Z3 Y5 X8,0.940177777778,0.00518155684036
