Category,Label,Operator,Toggle
Stabilizer,S_0,X0 X1,Y0
Stabilizer,S_1,X3 X5,X2 Z3
Stabilizer,S_2,X8 X11,X2 X5 Y8
Stabilizer,S_3,X15 X19,X2 X5 Y8 Z11 Z15
Stabilizer,S_4,X24 X29,X2 X5 Y8 Z11 X19 Y24
Stabilizer,S_5,X2 X4,X0 Z2
Stabilizer,S_6,X7 X10,X1 Z2 Z4 Z7
Stabilizer,S_7,X14 X18,X4 Y7 X8 Z10 Z14
Stabilizer,S_8,X23 X28,X1 Z2 Z4 Z7 Z10 Z14 Z18 Z23
Stabilizer,S_9,X33 X37,X24 Y33
Stabilizer,S_10,X6 X9,X1 Y2 Z4 Y6
Stabilizer,S_11,X13 X17,X6 Z12 Z13 Z16 X20
Stabilizer,S_12,X22 X27,X13 X16 X20 X21 Z22
Stabilizer,S_13,X32 X36,X18 X19 Y22 X23 Z24 Z27 Z29 Z32
Stabilizer,S_14,X40 X43,X24 X28 Y32 X33 Z36 Z40
Stabilizer,S_15,X12 X16,Y16 X20
Stabilizer,S_16,X21 X26,X12 X20 Z21
Stabilizer,S_17,X31 X35,X25 X26 Y31 X32 X33
Stabilizer,S_18,X39 X42,X32 X38 Z39 Y40 Z43
Stabilizer,S_19,X45 X47,X41 X42 Y45
Stabilizer,S_20,X20 X25,Z20
Stabilizer,S_21,X30 X34,X16 X17 X18 Z20 Y23 Z25 Z28 Z30 X33
Stabilizer,S_22,X38 X41,X31 Z38 Y39 Z42 X45
Stabilizer,S_23,X44 X46,X45 Z46
Stabilizer,S_24,X48 X49,X45 Z48
Stabilizer,S_25,X1 Z2 Y3 Y4 Z5 X7,X2
Stabilizer,S_26,X5 Z7 Y8 Y10 Z11 X14,Y3 Z5
Stabilizer,S_27,X11 Z14 Y15 Y18 Z19 X23,X4 X5 Y8 Z11
Stabilizer,S_28,X19 Z23 Y24 Y28 Z29 X33,Y15 Z19
Stabilizer,S_29,X4 Z6 Y7 Y9 Z10 X13,X1 Y2 Z4
Stabilizer,S_30,X10 Z13 Y14 Y17 Z18 X22,X4 Y7 Z10
Stabilizer,S_31,X18 Z22 Y23 Y27 Z28 X32,X11 Y14 Z18
Stabilizer,S_32,X28 Z32 Y33 Y36 Z37 X40,X33
Stabilizer,S_33,X9 Z12 Y13 Y16 Z17 X21,X12
Stabilizer,S_34,X17 Z21 Y22 Y26 Z27 X31,X20 X21
Stabilizer,S_35,X27 Z31 Y32 Y35 Z36 X39,X32 X33
Stabilizer,S_36,X36 Z39 Y40 Y42 Z43 X45,X39 X41
Stabilizer,S_37,X16 Z20 Y21 Y25 Z26 X30,X20
Stabilizer,S_38,X26 Z30 Y31 Y34 Z35 X38,X35 Y39 Z42 X45
Stabilizer,S_39,X35 Z38 Y39 Y41 Z42 X44,X38
Stabilizer,S_40,X42 Z44 Y45 Y46 Z47 X48,X45
Stabilizer,S_41,Y0 Z1 X2,X0
Stabilizer,S_42,Y6 Z9 X12,X1 Y2 Z4 X6
Stabilizer,S_43,X25 Y30 Z34,X12 X13 X18 Y20 Y23 Z25 Z28 X33
Stabilizer,S_44,X41 Y44 Z46,X35 X36 Y38 Y40 Z41 Z43
Stabilizer,S_45,Z3 Y5 X8,X2 X3
Stabilizer,S_46,Z15 Y19 X24,X4 X5 Y8 Z11 X15
Stabilizer,S_47,X37 Z40 Y43,X24 Y33 Z37
Stabilizer,S_48,X47 Z48 Y49,X41 X42 Y45 Z47
Logical,Logical X,X25 X26 X27 X28 X29,X12 X13 X18 Y23 Z28 Y40 Z43
Logical,Logical Y,X16 X17 Z22 Y27 X32 X33,—
Logical,Logical Z,X16 X17 Z22 X25 X26 Z27 X28 X29 X32 X33,—
