Category,Label,Operator,Toggle
Stabilizer,S_0,X0 X1,Y0
Stabilizer,S_1,X3 X5,X2 Z3
Stabilizer,S_2,X8 X11,X2 X5 Y8
Stabilizer,S_3,X2 X4,X0 Z2
Stabilizer,S_4,X7 X10,X1 Z2 Z4 Z7
Stabilizer,S_5,X13 X15,X8 Y13
Stabilizer,S_6,X6 X9,Z6
Stabilizer,S_7,X12 X14,X13 Z14
Stabilizer,S_8,X16 X17,X13 Z16
Stabilizer,S_9,X1 Z2 Y3 Y4 Z5 X7,X2
Stabilizer,S_10,X5 Z7 Y8 Y10 Z11 X13,Y3 Z5
Stabilizer,S_11,X4 Z6 Y7 Y9 Z10 X12,X1 Y2 Z4
Stabilizer,S_12,X10 Z12 Y13 Y14 Z15 X16,X6 X8 X10 X13
Stabilizer,S_13,Y0 Z1 X2,X0
Stabilizer,S_14,X9 Y12 Z14,X3 X4 Z6 X7 Z8 Z9 Z11
Stabilizer,S_15,Z3 Y5 X8,X2 X3
Stabilizer,S_16,X15 Z16 Y17,X9 X10 Y13 Z15
Logical,Logical X,X9 X10 X11,X2 X5 Y8 Z11
Logical,Logical Y,X4 Z7 Y10 X13,—
Logical,Logical Z,X4 Z7 X9 Z10 X11 X13,—
