g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,X146 Z155 Y156 Y164 Z165 X173,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X147 Z156 Y157 Y165 Z166 X174,0.999266666667,0.000808953725666
1e-05,1e-05,1e-05,1e-05,1,X148 Z157 Y158 Y166 Z167 X175,0.999422222222,0.000624734937408
1e-05,1e-05,1e-05,1e-05,1,X149 Z158 Y159 Y167 Z168 X176,0.9992,0.000640880620201
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.9996,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X150 Z159 Y160 Y168 Z169 X177,0.999444444444,0.000353779087003
1e-05,1e-05,1e-05,1e-05,1,X151 Z160 Y169,0.999844444444,0.000286788711435
1e-05,1e-05,1e-05,1e-05,1,X152 X161,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X153 X162,0.999733333333,0.000513421398626
1e-05,1e-05,1e-05,1e-05,1,X154 X163,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X155 X164,0.9996,0.000542450802897
1e-05,1e-05,1e-05,1e-05,1,X156 X165,0.999577777778,0.000539144585228
1e-05,1e-05,1e-05,1e-05,1,X157 X166,0.999666666667,0.000454858826147
1e-05,1e-05,1e-05,1e-05,1,X158 X167,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X159 X168,0.999711111111,0.000417374877053
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.999111111111,0.000685556145482
1e-05,1e-05,1e-05,1e-05,1,X160 X169,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X161 Y170 Z178,0.999866666667,0.000367240929613
1e-05,1e-05,1e-05,1e-05,1,X162 Z170 Y171 Y178 Z179 X186,0.999577777778,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X163 Z171 Y172 Y179 Z180 X187,0.999133333333,0.000557773351023
1e-05,1e-05,1e-05,1e-05,1,X164 Z172 Y173 Y180 Z181 X188,0.999333333333,0.000631242768632
1e-05,1e-05,1e-05,1e-05,1,X165 Z173 Y174 Y181 Z182 X189,0.999022222222,0.00103180581697
1e-05,1e-05,1e-05,1e-05,1,X166 Z174 Y175 Y182 Z183 X190,0.999422222222,0.000648802807495
1e-05,1e-05,1e-05,1e-05,1,X167 Z175 Y176 Y183 Z184 X191,0.999333333333,0.000553636532358
1e-05,1e-05,1e-05,1e-05,1,X168 Z176 Y177 Y184 Z185 X192,0.999511111111,0.000551787991196
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.999088888889,0.00079236458448
1e-05,1e-05,1e-05,1e-05,1,X170 X178,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1,X171 X179,0.999577777778,0.000566858205177
1e-05,1e-05,1e-05,1e-05,1,X172 X180,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X173 X181,0.9996,0.000449776445109
