g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,Logical X,0.0144222222222,0.0110913771116
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,Logical Y,0.0109555555556,0.00931802247176
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,Logical Z,0.0131333333333,0.00997798342636
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X0 X1,0.0147333333333,0.0124861302362
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X1 Z2 Y3 Y4 Z5 X7,0.0138666666667,0.0117775030692
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X10 Z13 Y14 Y17 Z18 X22,0.0156666666667,0.0130166412792
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X100 Z110 Y111 Y121 Z122 X132,0.0124,0.00882455647242
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X101 Z111 Y112 Y122 Z123 X133,0.0113555555556,0.0108114928679
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X102 Z112 Y113 Y123 Z124 X134,0.0122666666667,0.0100871299967
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X103 Z113 Y114 Y124 Z125 X135,0.0133777777778,0.00951857765435
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X104 Z114 Y115 Y125 Z126 X136,0.0174,0.0113087630891
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X105 Z115 Y116 Y126 Z127 X137,0.0144666666667,0.0105280504721
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X106 Z116 Y117 Y127 Z128 X138,0.0141555555556,0.0108725579311
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X107 Z117 Y118 Y128 Z129 X139,0.0167555555556,0.0116956727543
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X108 Z118 Y119 Y129 Z130 X140,0.0148,0.0104304299879
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X109 Z119 Y120 Y130 Z131 X141,0.0176,0.0123915680144
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X11 Z14 Y15 Y18 Z19 X23,0.0171555555556,0.0120991223308
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X110 X121,0.0128888888889,0.00865575499355
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X111 X122,0.0154666666667,0.0104245510391
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X112 X123,0.0172,0.0125645002553
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X113 X124,0.0146888888889,0.00966168453988
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X114 X125,0.0162,0.010949063537
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X115 X126,0.0142222222222,0.0104670009952
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X116 X127,0.0156,0.0123009515876
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X117 X128,0.0128444444444,0.00952501579662
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X118 X129,0.0132,0.0114943264365
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X119 X130,0.013,0.0108387696351
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X12 X16,0.0158666666667,0.0125705975742
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X120 X131,0.0151333333333,0.0111748897498
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X121 Y132 Z142,0.0148666666667,0.0101621339057
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X122 Z132 Y133 Y142 Z143 X152,0.0124,0.0109762544121
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X123 Z133 Y134 Y143 Z144 X153,0.0152,0.0120132749051
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X124 Z134 Y135 Y144 Z145 X154,0.0150222222222,0.0114747543428
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X125 Z135 Y136 Y145 Z146 X155,0.0116666666667,0.0083958573985
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,X126 Z136 Y137 Y146 Z147 X156,0.0168,0.0132785079714
