CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_0,X0 X1 X7,Z1 Z2 Z3 Z4 Z5 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_1,X1 X2 X8,Z2 Z3 Z4 Z5 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_2,X2 X3 X9,Z3 Z4 Z5 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_3,X3 X4 X10,Z4 Z5 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_4,X4 X5 X11,Z5 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_5,X5 X6 X12,Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_6,X7 X13 X14 X20,Z1 Z2 Z3 Z4 Z5 Z7 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_7,X8 X14 X15 X21,Z2 Z3 Z4 Z5 Z8 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_8,X9 X15 X16 X22,Z3 Z4 Z5 Z9 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_9,X10 X16 X17 X23,Z4 Z5 Z10 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_10,X11 X17 X18 X24,Z5 Z11 Z12 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_11,X12 X18 X19 X25,Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_12,X20 X26 X27 X33,Z1 Z2 Z3 Z4 Z5 Z7 Z12 Z20 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_13,X21 X27 X28 X34,Z2 Z3 Z4 Z5 Z8 Z12 Z21 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_14,X22 X28 X29 X35,Z3 Z4 Z5 Z9 Z12 Z22 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_15,X23 X29 X30 X36,Z4 Z5 Z10 Z12 Z23 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_16,X24 X30 X31 X37,Z5 Z11 Z12 Z24 Z25 Z38 Z51 Z64 Z77 Z84
surface,Stabilizer,S_17,X25 X31 X32 X38,Z38 Z51 Z64 Z77 Z84
