g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,Logical X,0.983511111111,0.0024631122781,0.983466666667,0.0038293082316
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,Logical Y,0.0118666666667,0.00869121192648,-0.00231111111111,0.0216334729523
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,Logical Z,0.0136888888889,0.0113187645825,0.00142222222222,0.0196113450107
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X0 X1 X7,0.9866,0.00256919564913,0.9866,0.00256919564913
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X1 X2 X8,0.981377777778,0.00296044592961,0.981377777778,0.00296044592961
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X10 X16 X17 X23,0.986333333333,0.00338918722385,0.986333333333,0.00338918722385
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X11 X17 X18 X24,0.987555555556,0.00274780767135,0.987555555556,0.00274780767135
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X12 X18 X19 X25,0.961177777778,0.00500936543066,0.961177777778,0.00500936543066
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X2 X3 X9,0.975622222222,0.00405964471327,0.975622222222,0.00405964471327
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X20 X26 X27 X33,0.984888888889,0.00266858168786,0.984888888889,0.00266858168786
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X21 X27 X28 X34,0.985333333333,0.00252497107453,0.985333333333,0.00252497107453
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X22 X28 X29 X35,0.985844444444,0.00364174743679,0.985844444444,0.00364174743679
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X23 X29 X30 X36,0.985888888889,0.00362656580883,0.985888888889,0.00362656580883
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X24 X30 X31 X37,0.985377777778,0.00261989636444,0.985377777778,0.00261989636444
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X25 X31 X32 X38,0.960666666667,0.00477220560749,0.960666666667,0.00477220560749
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X3 X4 X10,0.97,0.00397694505293,0.97,0.00397694505293
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X33 X39 X40 X46,0.984355555556,0.00356540780591,0.984355555556,0.00356540780591
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X34 X40 X41 X47,0.985488888889,0.00305095090174,0.985488888889,0.00305095090174
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X35 X41 X42 X48,0.986111111111,0.0032000159642,0.986111111111,0.0032000159642
0.000190546071796,0.000190546071796,0.000190546071796,0.000190546071796,1,X36 X42 X43 X49,0.984866666667,0.00279106401112,0.984866666667,0.00279106401112
