display_name,round,avg_stabilizer_fidelity,logical_x_fidelity,logical_y_fidelity,logical_z_fidelity
Pure Z Noise,0,0.3432472222222222,1.0,0.016233333333333332,0.021033333333333334
Pure Z Noise,1,0.9561499999999999,0.9692333333333333,0.018399999999999996,0.0149
Pure Z Noise,2,0.9555694444444445,0.9691666666666666,0.022266666666666667,0.018899999999999997
Pure Z Noise,3,0.9559666666666666,0.9704666666666667,0.0166,0.0156
Pure Z Noise,4,0.9558333333333334,0.9719333333333332,0.016666666666666666,0.025566666666666668
Pure Z Noise,5,0.9560638888888888,0.9690666666666666,0.017,0.018333333333333333
Pure Z Noise,6,0.955886111111111,0.9689,0.019466666666666667,0.019966666666666667
Pure Z Noise,7,0.9562027777777777,0.9698999999999999,0.0124,0.0195
Pure Z Noise,8,0.9560138888888889,0.971,0.017333333333333333,0.017566666666666668
Pure Z Noise,9,0.9560166666666666,0.9712,0.01846666666666667,0.01796666666666667
Pure Z Noise,10,0.9558972222222222,0.9701333333333333,0.021633333333333334,0.018766666666666664
Unbiased Depolarizing Noise,0,0.34239444444444445,1.0,0.019533333333333333,0.012633333333333333
Unbiased Depolarizing Noise,1,0.8300861111111112,0.9114666666666668,0.025233333333333333,0.020266666666666665
Unbiased Depolarizing Noise,2,0.8292527777777778,0.9108333333333333,0.0176,0.018799999999999997
Unbiased Depolarizing Noise,3,0.8304527777777778,0.9133,0.016633333333333333,0.0164
Unbiased Depolarizing Noise,4,0.8303472222222222,0.9112333333333333,0.014966666666666666,0.017633333333333334
Unbiased Depolarizing Noise,5,0.8291944444444445,0.9139,0.020933333333333335,0.0175
Unbiased Depolarizing Noise,6,0.8305666666666667,0.9109666666666667,0.016900000000000002,0.017366666666666666
Unbiased Depolarizing Noise,7,0.8307361111111111,0.9130333333333334,0.0175,0.015500000000000002
Unbiased Depolarizing Noise,8,0.8294888888888888,0.9117999999999999,0.016666666666666666,0.02383333333333333
Unbiased Depolarizing Noise,9,0.8294638888888888,0.9142666666666667,0.019666666666666666,0.017266666666666666
Unbiased Depolarizing Noise,10,0.8290583333333333,0.9135000000000001,0.016566666666666667,0.0188
Z Type Noise,0,0.34260555555555555,1.0,0.021233333333333333,0.015033333333333334
Z Type Noise,1,0.9221083333333333,0.9463666666666666,0.013000000000000001,0.019933333333333334
Z Type Noise,2,0.9226611111111112,0.9465666666666667,0.019899999999999998,0.016566666666666667
Z Type Noise,3,0.9235555555555556,0.9475333333333332,0.015933333333333334,0.0188
Z Type Noise,4,0.9223333333333333,0.9461666666666666,0.015433333333333334,0.015366666666666667
Z Type Noise,5,0.9229138888888889,0.9448666666666666,0.0141,0.015266666666666668
Z Type Noise,6,0.9223027777777778,0.9466333333333333,0.018133333333333335,0.0145
Z Type Noise,7,0.9229027777777777,0.9476666666666667,0.0206,0.016933333333333335
Z Type Noise,8,0.9226249999999999,0.9468,0.017366666666666666,0.019566666666666666
Z Type Noise,9,0.9223972222222222,0.9505666666666667,0.018533333333333336,0.015633333333333332
Z Type Noise,10,0.9223972222222222,0.9486666666666665,0.017,0.015166666666666667
