g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999422222222,0.000599701926812
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0136222222222,0.00952783111588
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0118666666667,0.00880682424355
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999888888889,0.00025269934786
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999355555556,0.00068890124819
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.999488888889,0.000598422788647
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999377777778,0.000551787991196
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999755555556,0.000370702277845
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.999666666667,0.000546672273591
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.9996,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.999644444444,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.999622222222,0.000485288027863
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.999444444444,0.000679944404609
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.9994,0.000639683829949
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.999155555556,0.000629622117001
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.999222222222,0.000744498768533
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.999688888889,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.9996,0.000513421398626
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.999733333333,0.000414303644177
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.9996,0.000542450802897
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.999733333333,0.000414303644177
1e-05,1e-05,1e-05,1e-05,1,X25 Z30 Y31 Y36 Z37 X43,0.999511111111,0.000551787991196
1e-05,1e-05,1e-05,1e-05,1,X26 Z31 Y32 Y37 Z38 X44,0.999644444444,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1,X27 Z32 Y33 Y38 Z39 X45,0.999355555556,0.000642870319555
1e-05,1e-05,1e-05,1e-05,1,X28 Z33 Y34 Y39 Z40 X46,0.999377777778,0.000629622117001
1e-05,1e-05,1e-05,1e-05,1,X29 Z34 Y35 Y40 Z41 X47,0.9994,0.000589824313085
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.999644444444,0.000419206816553
1e-05,1e-05,1e-05,1e-05,1,X30 X36,0.999422222222,0.000546204832484
1e-05,1e-05,1e-05,1e-05,1,X31 X37,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X32 X38,0.9998,0.000356655387081
1e-05,1e-05,1e-05,1e-05,1,X33 X39,0.999777777778,0.000474106001479
1e-05,1e-05,1e-05,1e-05,1,X34 X40,0.999555555556,0.000474106001479
1e-05,1e-05,1e-05,1e-05,1,X35 X41,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X36 Z42 Y43 Y49 Z50 X56,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X37 Z43 Y44 Y50 Z51 X57,0.9996,0.000542450802897
1e-05,1e-05,1e-05,1e-05,1,X38 Z44 Y45 Y51 Z52 X58,0.999466666667,0.000507416263405
1e-05,1e-05,1e-05,1e-05,1,X39 Z45 Y46 Y52 Z53 X59,0.999422222222,0.000599701926812
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X13,0.999266666667,0.000563241847975
1e-05,1e-05,1e-05,1e-05,1,X40 Z46 Y47 Y53 Z54 X60,0.999577777778,0.000566858205177
1e-05,1e-05,1e-05,1e-05,1,X41 Z47 Y48 Y54 Z55 X61,0.999511111111,0.000604791426213
1e-05,1e-05,1e-05,1e-05,1,X42 X49,0.999688888889,0.000546204832484
1e-05,1e-05,1e-05,1e-05,1,X43 X50,0.999755555556,0.000370702277845
1e-05,1e-05,1e-05,1e-05,1,X44 X51,0.999888888889,0.000307422024918
1e-05,1e-05,1e-05,1e-05,1,X45 X52,0.999755555556,0.000370702277845
1e-05,1e-05,1e-05,1e-05,1,X46 X53,0.999711111111,0.000378880518104
1e-05,1e-05,1e-05,1e-05,1,X47 X54,0.999733333333,0.000375494565317
1e-05,1e-05,1e-05,1e-05,1,X48 X55,0.9994,0.000707919081031
1e-05,1e-05,1e-05,1e-05,1,X49 Y56 Z62,0.999888888889,0.00025269934786
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X14,0.999111111111,0.000707558174007
1e-05,1e-05,1e-05,1e-05,1,X50 Z56 Y57 Y62 Z63 X68,0.9996,0.000542450802897
1e-05,1e-05,1e-05,1e-05,1,X51 Z57 Y58 Y63 Z64 X69,0.999444444444,0.000465954574384
1e-05,1e-05,1e-05,1e-05,1,X52 Z58 Y59 Y64 Z65 X70,0.999444444444,0.00060858061945
1e-05,1e-05,1e-05,1e-05,1,X53 Z59 Y60 Y65 Z66 X71,0.999266666667,0.000881482554707
1e-05,1e-05,1e-05,1e-05,1,X54 Z60 Y61 Y66 Z67 X72,0.999622222222,0.000485288027863
1e-05,1e-05,1e-05,1e-05,1,X56 X62,0.999844444444,0.000336004621996
