CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_34,X57 X67 X68 X78,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_35,X58 X68 X69 X79,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_36,X59 X69 X70 X80,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_37,X60 X70 X71 X81,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_38,X61 X71 X72 X82,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_39,X62 X72 X73 X83,Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_40,X74 X84 X85 X95,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_41,X75 X85 X86 X96,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_42,X76 X86 X87 X97,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_43,X77 X87 X88 X98,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_44,X78 X88 X89 X99,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_45,X79 X89 X90 X100,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_46,X80 X90 X91 X101,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_47,X81 X91 X92 X102,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_48,X82 X92 X93 X103,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_49,X83 X93 X94 X104,Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_50,X95 X105 X106 X116,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_51,X96 X106 X107 X117,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_52,X97 X107 X108 X118,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_53,X98 X108 X109 X119,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_54,X99 X109 X110 X120,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_55,X100 X110 X111 X121,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_56,X101 X111 X112 X122,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_57,X102 X112 X113 X123,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_58,X103 X113 X114 X124,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_59,X104 X114 X115 X125,Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_60,X116 X126 X127 X137,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z74 Z83 Z95 Z104 Z116 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_61,X117 X127 X128 X138,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z75 Z83 Z96 Z104 Z117 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_62,X118 X128 X129 X139,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z76 Z83 Z97 Z104 Z118 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_63,X119 X129 X130 X140,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z77 Z83 Z98 Z104 Z119 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_64,X120 X130 X131 X141,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z57 Z62 Z78 Z83 Z99 Z104 Z120 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_65,X121 X131 X132 X142,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z58 Z62 Z79 Z83 Z100 Z104 Z121 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_66,X122 X132 X133 X143,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z59 Z62 Z80 Z83 Z101 Z104 Z122 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_67,X123 X133 X134 X144,Z8 Z9 Z18 Z20 Z39 Z41 Z60 Z62 Z81 Z83 Z102 Z104 Z123 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_68,X124 X134 X135 X145,Z9 Z19 Z20 Z40 Z41 Z61 Z62 Z82 Z83 Z103 Z104 Z124 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_69,X125 X135 X136 X146,Z146 Z167 Z188 Z209 Z220
